DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 03:25:56 2020, 11.27,55.57,1005.33,32.45,6.5,144.41, 
Tue Apr 21 03:27:37 2020, 11.26,55.56,1005.29,32.41,6.5,77.07, 
Tue Apr 21 03:29:18 2020, 11.24,55.63,1005.33,32.57,6.5,23.64, 
Tue Apr 21 03:31:00 2020, 11.24,55.62,1005.29,32.54,6.5,70.07, 
Tue Apr 21 03:32:41 2020, 11.24,55.69,1005.27,32.69,6.5,0.62, 
Tue Apr 21 03:34:22 2020, 11.24,55.67,1005.29,32.64,6.5,12.94, 
Tue Apr 21 03:36:03 2020, 11.23,55.72,1005.33,32.74,6.5,146.34, 
Tue Apr 21 03:37:44 2020, 11.21,55.77,1005.29,32.85,6.5,0.74, 
Tue Apr 21 03:39:26 2020, 11.21,55.73,1005.31,32.78,6.5,128.69, 
Tue Apr 21 03:41:07 2020, 11.19,55.81,1005.27,32.93,6.5,31.76, 
Tue Apr 21 03:42:48 2020, 11.18,55.78,1005.18,32.87,6.5,0.62, 
Tue Apr 21 03:44:28 2020, 11.18,55.87,1005.29,33.07,6.5,0.62, 
Tue Apr 21 03:46:10 2020, 11.17,55.8,1005.29,32.91,6.5,149.19, 
Tue Apr 21 03:47:51 2020, 11.16,55.85,1005.27,33.03,6.5,37.13, 
Tue Apr 21 03:49:32 2020, 11.15,55.86,1005.29,33.04,6.5,0.62, 
Tue Apr 21 03:51:13 2020, 11.15,55.92,1005.27,33.17,6.5,9.01, 
Tue Apr 21 03:52:54 2020, 11.14,55.87,1005.29,33.06,6.5,149.73, 
Tue Apr 21 03:54:36 2020, 11.13,55.97,1005.29,33.26,6.5,152.09, 
Tue Apr 21 03:56:17 2020, 11.13,55.96,1005.31,33.25,6.5,100.99, 
Tue Apr 21 03:57:58 2020, 11.12,56.04,1005.37,33.41,6.5,56.26, 
Tue Apr 21 03:59:39 2020, 11.11,56.06,1005.41,33.46,6.5,101.26, 
Tue Apr 21 04:01:21 2020, 11.1,56.01,1005.39,33.35,6.5,35.36, 
Tue Apr 21 04:03:02 2020, 11.09,56.11,1005.39,33.57,6.5,96.52, 
Tue Apr 21 04:04:43 2020, 11.09,56.09,1005.35,33.52,6.5,75.15, 
Tue Apr 21 04:06:24 2020, 11.08,56.11,1005.35,33.56,6.5,64.3, 
Tue Apr 21 04:08:06 2020, 11.07,56.1,1005.31,33.55,6.5,112.2, 
Tue Apr 21 04:09:47 2020, 11.07,56.1,1005.33,33.55,6.5,0.62, 
Tue Apr 21 04:11:28 2020, 11.05,56.16,1005.29,33.66,6.5,53.21, 
Tue Apr 21 04:13:09 2020, 11.04,56.16,1005.29,33.68,6.5,71.13, 
Tue Apr 21 04:14:50 2020, 11.03,56.21,1005.27,33.77,6.5,30.21, 
Tue Apr 21 04:16:31 2020, 11.02,56.28,1005.27,33.93,6.5,34.08, 
Tue Apr 21 04:18:12 2020, 11.02,56.27,1005.18,33.9,6.5,23.01, 
Tue Apr 21 04:19:54 2020, 11.01,56.28,1005.18,33.91,6.5,40.38, 
Tue Apr 21 04:21:34 2020, 11.01,56.3,1005.18,33.95,6.5,102.42, 
Tue Apr 21 04:23:16 2020, 10.98,56.31,1005.16,33.99,6.5,0.62, 
Tue Apr 21 04:24:57 2020, 10.98,56.31,1005.16,33.97,6.5,144.83, 
Tue Apr 21 04:26:38 2020, 10.97,56.4,1005.29,34.17,6.5,55.81, 
Tue Apr 21 04:28:19 2020, 10.97,56.32,1005.29,34.0,6.5,45.44, 
Tue Apr 21 04:30:00 2020, 10.96,56.4,1005.27,34.16,6.5,0.85, 
Tue Apr 21 04:31:41 2020, 10.97,56.37,1005.37,34.11,6.5,0.62, 
Tue Apr 21 04:33:22 2020, 10.95,56.4,1005.41,34.17,6.5,23.34, 
Tue Apr 21 04:35:04 2020, 10.94,56.51,1005.39,34.39,6.5,46.73, 
Tue Apr 21 04:36:45 2020, 10.93,56.55,1005.41,34.47,6.5,40.27, 
Tue Apr 21 04:38:26 2020, 10.91,56.54,1005.41,34.45,6.5,81.63, 
Tue Apr 21 04:40:07 2020, 10.92,56.56,1005.45,34.5,6.5,13.94, 
Tue Apr 21 04:41:48 2020, 10.91,56.6,1005.47,34.58,6.5,123.69, 
Tue Apr 21 04:43:30 2020, 10.9,56.64,1005.45,34.66,6.5,9.97, 
Tue Apr 21 04:45:10 2020, 10.91,56.65,1005.47,34.69,6.5,31.34, 
Tue Apr 21 04:46:51 2020, 10.89,56.61,1005.47,34.6,6.5,64.38, 
