DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 03:28:28 2020, 19.38,50.83,1005.64,22.57,6.5,63.68, 
Tue Apr 21 03:30:09 2020, 19.36,50.9,1005.62,22.71,6.5,2.0, 
Tue Apr 21 03:31:50 2020, 19.35,50.85,1005.62,22.61,6.5,23.8, 
Tue Apr 21 03:33:31 2020, 19.35,50.88,1005.6,22.66,6.5,96.02, 
Tue Apr 21 03:35:13 2020, 19.34,50.88,1005.62,22.66,6.5,16.85, 
Tue Apr 21 03:36:54 2020, 19.33,50.89,1005.6,22.68,6.5,144.0, 
Tue Apr 21 03:38:35 2020, 19.32,50.86,1005.6,22.62,6.5,98.51, 
Tue Apr 21 03:40:16 2020, 19.32,50.89,1005.64,22.68,6.5,48.42, 
Tue Apr 21 03:41:57 2020, 19.32,50.88,1005.64,22.67,6.5,147.0, 
Tue Apr 21 03:43:38 2020, 19.31,50.92,1005.62,22.74,6.5,21.2, 
Tue Apr 21 03:45:19 2020, 19.3,50.94,1005.62,22.78,6.5,26.9, 
Tue Apr 21 03:47:01 2020, 19.29,50.88,1005.62,22.66,6.5,115.58, 
Tue Apr 21 03:48:42 2020, 19.28,50.91,1005.62,22.73,6.5,16.24, 
Tue Apr 21 03:50:23 2020, 19.26,50.88,1005.6,22.66,6.5,82.56, 
Tue Apr 21 03:52:04 2020, 19.26,50.92,1005.62,22.74,6.5,38.97, 
Tue Apr 21 03:53:45 2020, 19.25,50.9,1005.58,22.71,6.5,96.99, 
Tue Apr 21 03:55:26 2020, 19.24,50.89,1005.58,22.69,6.5,82.12, 
Tue Apr 21 03:57:08 2020, 19.24,50.91,1005.66,22.72,6.5,50.19, 
Tue Apr 21 03:58:49 2020, 19.23,50.94,1005.64,22.79,6.5,123.48, 
Tue Apr 21 04:00:30 2020, 19.23,50.92,1005.68,22.75,6.5,72.25, 
Tue Apr 21 04:02:12 2020, 19.22,50.94,1005.64,22.79,6.5,5.62, 
Tue Apr 21 04:03:53 2020, 19.21,50.92,1005.66,22.74,6.5,33.34, 
Tue Apr 21 04:05:34 2020, 19.21,50.94,1005.66,22.78,6.5,5.1, 
Tue Apr 21 04:07:15 2020, 19.19,50.93,1005.62,22.78,6.5,149.59, 
Tue Apr 21 04:08:56 2020, 19.18,50.94,1005.64,22.79,6.5,150.1, 
Tue Apr 21 04:10:37 2020, 19.17,50.94,1005.58,22.8,6.5,73.28, 
Tue Apr 21 04:12:18 2020, 19.17,50.98,1005.6,22.88,6.5,27.75, 
Tue Apr 21 04:14:00 2020, 19.16,50.98,1005.54,22.87,6.5,81.45, 
Tue Apr 21 04:15:41 2020, 19.15,50.97,1005.56,22.84,6.5,140.76, 
Tue Apr 21 04:17:22 2020, 19.15,50.95,1005.54,22.81,6.5,123.02, 
Tue Apr 21 04:19:03 2020, 19.14,50.97,1005.54,22.84,6.5,150.96, 
Tue Apr 21 04:20:44 2020, 19.13,50.92,1005.54,22.76,6.5,139.69, 
Tue Apr 21 04:22:25 2020, 19.12,50.99,1005.56,22.89,6.5,12.1, 
Tue Apr 21 04:24:06 2020, 19.11,50.97,1005.54,22.84,6.5,150.67, 
Tue Apr 21 04:25:47 2020, 19.09,51.03,1005.52,22.98,6.5,75.02, 
Tue Apr 21 04:27:29 2020, 19.09,51.0,1005.52,22.92,6.5,40.92, 
Tue Apr 21 04:29:10 2020, 19.09,51.03,1005.56,22.97,6.5,66.15, 
Tue Apr 21 04:30:51 2020, 19.08,51.02,1005.58,22.96,6.5,39.03, 
Tue Apr 21 04:32:32 2020, 19.07,51.05,1005.62,23.02,6.5,144.5, 
Tue Apr 21 04:34:13 2020, 19.08,51.13,1005.68,23.19,6.5,25.47, 
Tue Apr 21 04:35:55 2020, 19.07,51.12,1005.68,23.18,6.5,80.65, 
Tue Apr 21 04:37:36 2020, 19.05,51.07,1005.7,23.06,6.5,25.15, 
Tue Apr 21 04:39:17 2020, 19.04,51.15,1005.7,23.23,6.5,10.72, 
Tue Apr 21 04:40:58 2020, 19.04,51.12,1005.74,23.18,6.5,26.67, 
Tue Apr 21 04:42:39 2020, 19.03,51.1,1005.76,23.11,6.5,10.34, 
Tue Apr 21 04:44:20 2020, 19.03,51.11,1005.82,23.15,6.5,106.36, 
Tue Apr 21 04:46:01 2020, 19.01,51.22,1005.74,23.38,6.5,0.62, 
Tue Apr 21 04:47:42 2020, 19.01,51.19,1005.82,23.32,6.5,151.69, 
Tue Apr 21 04:49:23 2020, 19.01,51.17,1005.84,23.27,6.5,37.91, 
Tue Apr 21 04:51:04 2020, 18.98,51.2,1005.82,23.34,6.5,140.28, 
Tue Apr 21 04:52:45 2020, 18.98,51.28,1005.78,23.5,6.5,46.44, 
Tue Apr 21 04:54:27 2020, 18.97,51.31,1005.8,23.56,6.5,143.73, 
Tue Apr 21 04:56:08 2020, 18.96,51.48,1005.78,23.93,6.5,52.87, 
Tue Apr 21 04:57:49 2020, 18.96,51.59,1005.76,24.14,6.5,96.84, 
Tue Apr 21 04:59:30 2020, 18.95,51.53,1005.7,24.03,6.5,58.27, 
Tue Apr 21 05:01:11 2020, 18.94,51.46,1005.72,23.87,6.5,122.66, 
Tue Apr 21 05:02:53 2020, 18.95,51.54,1005.7,24.05,6.5,45.35, 
Tue Apr 21 05:04:34 2020, 18.95,51.65,1005.74,24.28,6.5,136.82, 
Tue Apr 21 05:06:15 2020, 18.94,51.68,1005.72,24.34,6.5,56.74, 
Tue Apr 21 05:07:56 2020, 18.92,51.69,1005.74,24.36,6.5,98.16, 
Tue Apr 21 05:09:37 2020, 18.94,51.67,1005.8,24.31,6.5,62.85, 
Tue Apr 21 05:11:18 2020, 18.93,51.69,1005.87,24.36,6.5,39.23, 
Tue Apr 21 05:12:59 2020, 18.92,51.73,1005.87,24.44,6.5,17.14, 
Tue Apr 21 05:14:40 2020, 18.92,51.66,1005.84,24.29,6.5,75.37, 
Tue Apr 21 05:16:22 2020, 18.91,51.71,1005.91,24.39,6.5,118.56, 
Tue Apr 21 05:18:03 2020, 18.92,51.71,1005.91,24.39,6.5,99.94, 
Tue Apr 21 05:19:44 2020, 18.91,51.81,1005.95,24.59,6.5,140.69, 
Tue Apr 21 05:21:25 2020, 18.88,51.84,1005.97,24.67,6.5,71.85, 
Tue Apr 21 05:23:06 2020, 18.87,51.89,1005.97,24.77,6.5,118.74, 
Tue Apr 21 05:24:47 2020, 18.87,51.89,1005.99,24.77,6.5,153.8, 
Tue Apr 21 05:26:29 2020, 18.87,51.87,1006.01,24.74,6.5,135.97, 
Tue Apr 21 05:28:10 2020, 18.87,51.82,1005.99,24.63,6.5,23.45, 
Tue Apr 21 05:29:51 2020, 18.84,51.9,1006.03,24.78,6.5,103.73, 
Tue Apr 21 05:31:32 2020, 18.83,51.91,1006.03,24.81,6.5,143.19, 
Tue Apr 21 05:33:13 2020, 18.81,51.91,1005.99,24.81,6.5,36.35, 
Tue Apr 21 05:34:55 2020, 18.81,51.91,1006.01,24.81,6.5,119.51, 
Tue Apr 21 05:36:36 2020, 18.8,51.88,1006.01,24.75,6.5,42.9, 
Tue Apr 21 05:38:17 2020, 18.78,51.91,1006.03,24.82,6.5,73.87, 
Tue Apr 21 05:39:59 2020, 18.75,51.96,1006.07,24.91,6.5,132.91, 
Tue Apr 21 05:41:39 2020, 18.76,51.89,1006.05,24.78,6.5,128.86, 
Tue Apr 21 05:43:20 2020, 18.72,51.98,1006.07,24.95,6.5,79.63, 
Tue Apr 21 05:45:02 2020, 18.72,52.0,1006.09,25.01,6.5,140.31, 
Tue Apr 21 05:46:43 2020, 18.7,52.01,1006.17,25.02,6.5,74.42, 
Tue Apr 21 05:48:24 2020, 18.68,52.05,1006.13,25.11,6.5,153.35, 
Tue Apr 21 05:50:05 2020, 18.7,51.99,1006.19,24.98,6.5,34.27, 
Tue Apr 21 05:51:46 2020, 18.7,51.96,1006.17,24.92,6.5,117.79, 
Tue Apr 21 05:53:27 2020, 18.69,52.0,1006.19,24.99,6.5,75.73, 
Tue Apr 21 05:55:09 2020, 18.67,52.0,1006.17,25.0,6.5,118.18, 
Tue Apr 21 05:56:50 2020, 18.67,52.0,1006.23,25.0,6.5,84.57, 
Tue Apr 21 05:58:31 2020, 18.66,52.03,1006.21,25.06,6.5,35.8, 
Tue Apr 21 06:00:12 2020, 18.66,51.93,1006.29,24.86,6.5,137.2, 
Tue Apr 21 06:01:53 2020, 18.66,51.92,1006.29,24.84,6.5,64.54, 
Tue Apr 21 06:03:34 2020, 18.65,51.96,1006.31,24.91,6.5,95.89, 
Tue Apr 21 06:05:15 2020, 18.64,51.97,1006.29,24.93,6.5,68.8, 
Tue Apr 21 06:06:56 2020, 18.65,51.96,1006.31,24.91,6.5,31.3, 
Tue Apr 21 06:08:37 2020, 18.62,51.9,1006.29,24.79,6.5,10.78, 
Tue Apr 21 06:10:18 2020, 18.62,51.92,1006.35,24.84,6.5,47.03, 
Tue Apr 21 06:11:59 2020, 18.61,51.97,1006.31,24.95,6.5,74.7, 
Tue Apr 21 06:13:40 2020, 18.62,51.96,1006.37,24.91,6.5,2.19, 
Tue Apr 21 06:15:22 2020, 18.59,52.01,1006.37,25.01,6.5,28.11, 
Tue Apr 21 06:17:03 2020, 18.59,52.03,1006.39,25.06,6.5,10.74, 
Tue Apr 21 06:18:44 2020, 18.58,52.03,1006.37,25.06,6.5,61.43, 
Tue Apr 21 06:20:25 2020, 18.59,52.01,1006.35,25.01,6.5,44.45, 
Tue Apr 21 06:22:06 2020, 18.58,52.02,1006.37,25.04,6.5,137.83, 
Tue Apr 21 06:23:47 2020, 18.57,52.15,1006.39,25.3,6.5,153.1, 
Tue Apr 21 06:25:28 2020, 18.56,52.16,1006.37,25.33,6.5,1.0, 
Tue Apr 21 06:27:09 2020, 18.57,52.15,1006.46,25.32,6.5,63.19, 
Tue Apr 21 06:28:51 2020, 18.55,52.19,1006.42,25.4,6.5,109.51, 
Tue Apr 21 06:30:32 2020, 18.54,52.28,1006.42,25.58,6.5,74.04, 
Tue Apr 21 06:32:13 2020, 18.51,52.29,1006.42,25.61,6.5,30.47, 
Tue Apr 21 06:33:54 2020, 18.52,52.32,1006.46,25.67,6.5,41.99, 
Tue Apr 21 06:35:35 2020, 18.53,52.26,1006.44,25.53,6.5,141.3, 
Tue Apr 21 06:37:16 2020, 18.54,52.24,1006.48,25.5,6.5,72.66, 
Tue Apr 21 06:38:58 2020, 18.53,52.29,1006.44,25.6,6.5,132.49, 
Tue Apr 21 06:40:39 2020, 18.53,52.27,1006.42,25.57,6.5,15.4, 
Tue Apr 21 06:42:20 2020, 18.54,52.24,1006.42,25.5,6.5,122.57, 
Tue Apr 21 06:44:01 2020, 18.52,52.31,1006.48,25.64,6.5,44.46, 
Tue Apr 21 06:45:43 2020, 18.52,52.28,1006.48,25.58,6.5,31.21, 
Tue Apr 21 06:47:24 2020, 18.52,52.28,1006.5,25.58,6.5,34.78, 
Tue Apr 21 06:49:05 2020, 18.5,52.5,1006.52,26.05,6.5,146.84, 
Tue Apr 21 06:50:47 2020, 18.5,52.51,1006.58,26.07,6.5,121.3, 
Tue Apr 21 06:52:28 2020, 18.51,52.55,1006.58,26.14,6.5,73.48, 
Tue Apr 21 06:54:09 2020, 18.51,52.67,1006.58,26.4,6.5,136.49, 
Tue Apr 21 06:55:50 2020, 18.49,52.74,1006.62,26.55,6.5,37.52, 
Tue Apr 21 06:57:31 2020, 18.48,52.76,1006.64,26.59,6.5,127.36, 
Tue Apr 21 06:59:12 2020, 18.47,52.81,1006.62,26.68,6.5,16.81, 
Tue Apr 21 07:00:54 2020, 18.47,52.82,1006.62,26.7,6.5,16.59, 
Tue Apr 21 07:02:35 2020, 18.47,52.94,1006.64,26.96,6.5,138.91, 
Tue Apr 21 07:04:15 2020, 18.49,52.6,1006.6,26.25,6.5,22.3, 
Tue Apr 21 07:05:57 2020, 18.51,52.56,1006.58,26.16,6.5,32.23, 
Tue Apr 21 07:07:38 2020, 18.51,52.39,1006.62,25.81,6.5,0.62, 
Tue Apr 21 07:09:19 2020, 18.51,52.57,1006.62,26.2,6.5,13.01, 
Tue Apr 21 07:11:00 2020, 18.51,53.19,1006.62,27.47,6.5,137.61, 
Tue Apr 21 07:12:41 2020, 18.6,54.28,1006.64,29.76,6.5,88.23, 
Tue Apr 21 07:14:22 2020, 18.61,53.28,1006.66,27.67,6.5,50.61, 
Tue Apr 21 07:16:03 2020, 18.63,53.53,1006.68,28.19,6.5,136.51, 
Tue Apr 21 07:17:44 2020, 18.67,53.83,1006.68,28.81,6.5,111.68, 
Tue Apr 21 07:19:25 2020, 18.7,53.72,1006.76,28.58,6.5,56.67, 
Tue Apr 21 07:21:06 2020, 18.72,53.78,1006.76,28.71,6.5,125.89, 
Tue Apr 21 07:22:47 2020, 18.75,54.06,1006.8,29.28,6.5,31.7, 
Tue Apr 21 07:24:29 2020, 18.8,54.44,1006.72,30.08,6.5,13.62, 
Tue Apr 21 07:26:10 2020, 18.91,54.68,1006.82,30.58,6.5,43.26, 
Tue Apr 21 07:27:51 2020, 19.0,54.8,1006.82,30.83,6.5,124.43, 
Tue Apr 21 07:29:33 2020, 19.12,55.36,1006.86,32.0,6.5,102.32, 
Tue Apr 21 07:31:14 2020, 19.1,54.89,1006.88,31.03,6.5,7.66, 
