DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust 
Tue Apr 21 03:26:22 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:28:03 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:29:44 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:31:25 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:33:06 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:34:47 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:36:29 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:38:10 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:39:51 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:41:32 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:43:13 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:44:54 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:46:35 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:48:16 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:49:58 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:51:39 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:53:20 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:55:01 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:56:43 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 03:58:24 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:00:05 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:01:47 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:03:28 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:05:09 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:06:50 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:08:31 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:10:12 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:11:53 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:13:35 2020,NaN,NaN,NaN,NaN,NaN,NaN 
Tue Apr 21 04:15:16 2020,NaN,NaN,NaN,NaN,NaN,NaN 
